,id_full_season,player_name,games_full_season,time_full_season,goals_full_season,xG_full_season,assists_full_season,xA_full_season,shots_full_season,key_passes_full_season,yellow_cards_full_season,red_cards_full_season,position,team_title,npg_full_season,npxG_full_season,xGChain_full_season,xGBuildup_full_season,fpl_id
299,1711.0,Adam Forshaw,12.0,853.0,0.0,0.2356742098927498,1.0,0.9041967894881964,7.0,11.0,2.0,0.0,M S,Leeds,0.0,0.2356742098927498,3.6065830904990435,2.637192564085126,
300,1725.0,Christian Kabasele,3.0,200.0,0.0,0.416583389043808,0.0,0.0,1.0,0.0,0.0,0.0,D S,Watford,0.0,0.416583389043808,0.29073627665638924,0.29073627665638924,384.0
301,1735.0,Jack Stephens,6.0,486.0,0.0,0.0,0.0,0.24428221210837364,0.0,4.0,2.0,0.0,D,Southampton,0.0,0.0,1.0839737951755524,1.0298576839268208,338.0
302,1739.0,Eric Bailly,4.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,D S,Manchester United,0.0,0.0,0.42615123093128204,0.42615123093128204,286.0
303,1740.0,Paul Pogba,9.0,635.0,0.0,1.5863405540585518,7.0,1.599287511780858,21.0,15.0,4.0,1.0,M S,Manchester United,0.0,1.5863405540585518,3.2818631529808044,1.7539983205497265,272.0
304,1749.0,Rob Holding,5.0,313.0,0.0,0.4433862380683422,0.0,0.0,2.0,0.0,2.0,0.0,D S,Arsenal,0.0,0.4433862380683422,0.7816650532186031,0.7816650532186031,14.0
305,1750.0,Ainsley Maitland-Niles,8.0,251.0,0.0,0.029720153659582138,0.0,0.22736281156539917,2.0,3.0,0.0,0.0,M S,Arsenal,0.0,0.029720153659582138,0.6360603049397469,0.3890685737133026,13.0
306,1823.0,Lucas Digne,14.0,1260.0,0.0,0.4498689007014036,0.0,1.9988578017801046,11.0,24.0,5.0,0.0,D,"Aston Villa,Everton",0.0,0.4498689007014036,3.2408320643007755,2.4715919122099876,168.0
307,1828.0,Alex Telles,7.0,556.0,0.0,0.19535277411341667,1.0,0.9322400782257318,4.0,8.0,0.0,0.0,D S,Manchester United,0.0,0.19535277411341667,2.0473935529589653,1.3825848996639252,279.0
308,2190.0,Vicente Guaita,18.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GK,Crystal Palace,0.0,0.0,1.9835428856313229,1.9835428856313229,146.0
309,2245.0,Raphael Varane,10.0,832.0,0.0,0.3987354338169098,1.0,0.11302643269300461,5.0,2.0,0.0,0.0,D S,Manchester United,0.0,0.3987354338169098,1.153703685849905,1.0965622439980507,
310,2266.0,Saúl Ñíguez,5.0,165.0,0.0,0.06304872781038284,0.0,0.0,1.0,0.0,1.0,0.0,M S,Chelsea,0.0,0.06304872781038284,1.0427036732435226,0.9796549454331398,
