,id_full_season,player_name,games_full_season,time_full_season,goals_full_season,xG_full_season,assists_full_season,xA_full_season,shots_full_season,key_passes_full_season,yellow_cards_full_season,red_cards_full_season,position,team_title,npg_full_season,npxG_full_season,xGChain_full_season,xGBuildup_full_season,fpl_id
42,606.0,Christian Benteke,20.0,1061.0,4.0,4.719367414712906,1.0,1.6455406285822392,38.0,13.0,3.0,0.0,F S,Crystal Palace,4.0,4.719367414712906,6.482015427201986,1.2350080097094178,149.0
43,647.0,Harry Kane,17.0,1429.0,4.0,6.853766035288572,1.0,3.152003549039364,50.0,14.0,3.0,0.0,F M S,Tottenham,3.0,6.092597257345915,10.62307670712471,2.6764032524079084,357.0
44,986.0,Danny Ings,14.0,1047.0,4.0,2.9362498708069324,2.0,0.2188359797000885,21.0,4.0,1.0,0.0,F S,Aston Villa,3.0,2.17508103325963,3.1447861585766077,1.1370589844882488,337.0
45,998.0,Ivan Toney,18.0,1620.0,4.0,4.356804016977549,2.0,3.5351024018600583,40.0,20.0,5.0,0.0,F,Brentford,2.0,2.834503147751093,5.2813634648919106,1.06656273920089,78.0
46,2335.0,Pablo Fornals,19.0,1454.0,4.0,2.982703685760498,2.0,3.7410189360380173,25.0,26.0,3.0,0.0,M S,West Ham,4.0,2.982703685760498,11.20155768096447,5.63433943875134,423.0
47,2517.0,Martin Odegaard,18.0,1226.0,4.0,1.2858720123767853,3.0,3.362564582377672,19.0,30.0,2.0,0.0,M S,Arsenal,4.0,1.2858720123767853,8.384983953088522,5.524210385046899,
48,7490.0,Mason Greenwood,15.0,1060.0,4.0,3.048047360032797,1.0,1.264625996351242,39.0,16.0,1.0,0.0,F M S,Manchester United,4.0,3.048047360032797,4.552164923399687,1.5379876960068941,289.0
49,7698.0,Leandro Trossard,19.0,1637.0,4.0,4.082470057532191,1.0,1.796554446220398,49.0,25.0,1.0,0.0,F M,Brighton,3.0,3.321301205083728,6.9857665821909904,2.85301517508924,64.0
50,7700.0,Che Adams,14.0,896.0,4.0,2.4769293144345284,1.0,1.4322864897549152,22.0,11.0,0.0,0.0,F M S,Southampton,4.0,2.4769293144345284,3.471755914390087,0.2541318517178297,345.0
51,7752.0,Gabriel Martinelli,13.0,783.0,4.0,4.245867621153593,2.0,1.7879327088594437,23.0,16.0,1.0,0.0,F M S,Arsenal,4.0,4.245867621153593,5.7201687432825565,1.0453782733529806,26.0
52,8067.0,Reece James,16.0,1114.0,4.0,1.8819010388106108,5.0,3.7123125419020653,21.0,31.0,4.0,1.0,D M S,Chelsea,4.0,1.8819010388106108,9.492686381563544,6.434538744390011,142.0
53,8379.0,Alexis Mac Allister,15.0,650.0,4.0,2.6998753314837813,1.0,1.0445203948765993,22.0,14.0,1.0,0.0,M S,Brighton,3.0,1.938706493936479,4.068274311721325,2.0796126620844007,74.0
54,8845.0,Hee-Chan Hwang,14.0,983.0,4.0,2.3968340400606394,0.0,0.8159827785566449,9.0,7.0,1.0,0.0,F M S,Wolverhampton Wanderers,4.0,2.3968340400606394,5.018234342336655,2.184372266754508,
55,775.0,Andros Townsend,16.0,1275.0,3.0,2.146623596549034,2.0,2.748285062611103,18.0,30.0,3.0,0.0,F M S,Everton,2.0,1.3854547664523125,5.22294907271862,2.704090593382716,482.0
56,782.0,Ben Chilwell,6.0,540.0,3.0,1.298326052725315,1.0,0.8330149557441473,13.0,10.0,0.0,0.0,D M,Chelsea,3.0,1.298326052725315,3.937902458012104,2.8827292025089264,135.0
57,2496.0,Rodri,18.0,1568.0,3.0,0.9948990345001221,1.0,0.9461587630212307,18.0,16.0,5.0,0.0,M,Manchester City,3.0,0.9948990345001221,14.553784340620041,13.207567512989044,266.0
58,2662.0,Christian Pulisic,12.0,748.0,3.0,3.265300936996937,0.0,0.42403372935950756,12.0,8.0,1.0,0.0,D F M S,Chelsea,3.0,3.265300936996937,4.596597364172339,1.0486329421401024,137.0
59,3277.0,Alexandre Lacazette,15.0,872.0,3.0,4.182641874998808,3.0,1.2645069807767868,14.0,14.0,0.0,0.0,F M S,Arsenal,2.0,2.6603041402995586,5.175618544220924,2.244723152369261,6.0
60,4105.0,Raúl Jiménez,18.0,1479.0,3.0,3.601715880446136,2.0,2.099011369049549,33.0,25.0,3.0,1.0,F S,Wolverhampton Wanderers,3.0,3.601715880446136,6.727542031556368,1.8646574569866061,430.0
61,4456.0,Chris Wood,17.0,1403.0,3.0,4.965387258678675,0.0,0.38854250963777304,30.0,9.0,1.0,0.0,F,Burnley,3.0,4.965387258678675,4.512260515242815,1.4244721680879593,109.0
62,5555.0,Dominic Calvert-Lewin,4.0,343.0,3.0,4.112690687179565,0.0,0.13921446353197098,15.0,3.0,0.0,0.0,F,Everton,1.0,1.8292209655046463,2.0615689381957054,0.10940827801823616,177.0
63,5556.0,Ademola Lookman,12.0,723.0,3.0,2.1233532279729843,0.0,0.8606500141322613,11.0,12.0,1.0,0.0,F M S,Leicester,3.0,2.1233532279729843,5.156751446425915,2.5945195332169533,
64,5786.0,Yoane Wissa,12.0,391.0,3.0,0.8757980866357684,0.0,0.06937529891729355,8.0,2.0,0.0,0.0,F S,Brentford,3.0,0.8757980866357684,0.8534758910536766,0.07079316675662994,
65,6026.0,Richarlison,11.0,888.0,3.0,2.248310132883489,2.0,2.033296797424555,17.0,13.0,5.0,0.0,F M S,Everton,3.0,2.248310132883489,4.546537280082703,1.4459950923919678,180.0
66,6042.0,Jan Bednarek,15.0,1256.0,3.0,1.5253305174410343,0.0,0.06707803159952164,7.0,2.0,4.0,0.0,D S,Southampton,3.0,1.5253305174410343,3.562615105882287,3.4704428780823946,343.0
67,6552.0,Bryan Mbeumo,17.0,1424.0,3.0,5.629609443247318,2.0,1.4216875322163105,38.0,15.0,2.0,0.0,F,Brentford,2.0,4.868440575897694,7.921686144545674,2.4760850183665752,96.0
68,7723.0,John McGinn,17.0,1479.0,3.0,0.6551090776920319,2.0,3.1656193835660815,23.0,29.0,5.0,0.0,M,Aston Villa,3.0,0.6551090776920319,6.048300785943866,3.3812703508883715,35.0
