,id,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index,web_name,form,position,value
94,90,Bech Sørensen,Brentford,2,0.0,43,379,2109,1.4,6,12.1,Sørensen,0.2,Defender,1.4
95,91,Pinnock,Brentford,2,3.4,45,1954,817512,13.8,62,94.5,Pinnock,1.0,Defender,13.8
100,96,Mbeumo,Brentford,3,1.1,53,1689,635365,12.8,68,98.6,Mbeumo,2.5,Midfielder,12.8
101,97,Bidstrup,Brentford,3,0.1,44,36,7635,0.9,4,0.8,Bidstrup,0.0,Midfielder,0.9
102,479,Onyeka,Brentford,3,0.1,49,1008,13216,6.7,33,33.7,Onyeka,0.5,Midfielder,6.7
103,483,Ajer,Brentford,2,0.5,44,925,92022,5.9,26,25.7,Ajer,0.5,Defender,5.9
104,498,Thompson,Brentford,2,0.0,44,146,2586,0.7,3,2.3,Thompson,0.0,Defender,0.7
105,499,Baptiste,Brentford,3,0.0,49,810,8578,6.1,30,33.8,Baptiste,1.0,Midfielder,6.1
106,524,Wissa,Brentford,3,0.1,59,504,16886,6.3,37,34.0,Wissa,1.0,Midfielder,6.3
107,556,Fernández,Brentford,1,0.8,45,1080,160685,6.9,31,35.2,Fernández,1.0,Goalkeeper,6.9
108,569,Stevens,Brentford,2,0.3,39,14,37065,0.3,1,2.1,Stevens,0.0,Defender,0.3
109,594,Jorgensen,Brentford,2,0.0,45,426,10601,2.7,12,19.6,Zanka,0.0,Defender,2.7
115,673,Lössl,Brentford,1,0.0,45,180,839,0.4,2,1.6,Lössl,0.5,Goalkeeper,0.4
117,53,Lallana,Brighton,3,0.2,53,1363,23759,6.8,36,48.2,Lallana,0.3,Midfielder,6.8
118,54,Steele,Brighton,1,2.2,40,90,341491,0.5,2,2.9,Steele,0.0,Goalkeeper,0.5
119,55,Groß,Brighton,3,0.3,57,1048,173779,6.3,36,88.6,Groß,1.3,Midfielder,6.3
120,56,Duffy,Brighton,2,9.9,41,1163,2476209,11.2,46,54.8,Duffy,0.0,Defender,11.2
122,59,Dunk,Brighton,2,2.2,48,1260,293361,10.4,50,41.2,Dunk,0.0,Defender,10.4
123,60,March,Brighton,3,0.1,53,892,8099,6.0,32,60.2,March,1.0,Midfielder,6.0
124,61,Webster,Brighton,2,0.4,44,986,45502,8.4,37,34.5,Webster,5.0,Defender,8.4
125,62,Veltman,Brighton,2,0.9,42,1447,108426,10.7,45,49.0,Veltman,2.0,Defender,10.7
126,63,Maupay,Brighton,4,8.2,65,1492,1472375,12.2,79,103.7,Maupay,3.7,Forward,12.2
127,64,Trossard,Brighton,3,1.9,60,1739,602499,12.5,75,146.5,Trossard,1.7,Midfielder,12.5
131,69,Sánchez,Brighton,1,18.1,46,1890,1367976,16.3,75,52.2,Sánchez,2.7,Goalkeeper,16.3
132,70,Bissouma,Brighton,3,5.4,44,1210,1127181,6.8,30,43.9,Bissouma,0.0,Midfielder,6.8
133,71,Lamptey,Brighton,2,2.6,45,808,347364,8.7,39,45.6,Lamptey,1.3,Defender,8.7
134,72,Connolly,Brighton,4,0.1,53,154,19775,0.9,5,3.1,Connolly,0.0,Forward,0.9
135,73,Alzate,Brighton,3,0.0,48,248,3094,1.9,9,9.5,Alzate,1.3,Midfielder,1.9
136,74,Mac Allister,Brighton,3,0.8,53,839,127068,11.1,59,84.1,Mac Allister,3.7,Midfielder,11.1
137,75,Moder,Brighton,3,0.8,45,1323,145050,10.4,47,64.1,Moder,2.0,Midfielder,10.4
138,447,Welbeck,Brighton,4,0.4,59,399,57847,5.3,31,33.6,Welbeck,3.3,Forward,5.3
139,462,Mwepu,Brighton,3,0.1,59,635,13407,5.9,35,33.2,Mwepu,0.0,Midfielder,5.9
144,537,Richards,Brighton,3,0.0,45,23,4122,0.4,2,2.5,Richards,0.0,Midfielder,0.4
147,584,Cucurella,Brighton,2,3.7,51,1649,548390,14.1,72,82.9,Cucurella,2.3,Defender,14.1
148,595,Locadia,Brighton,4,1.2,44,22,309704,0.2,1,0.1,Locadia,0.0,Forward,0.2
149,612,Sarmiento,Brighton,3,0.0,45,20,1313,0.4,2,0.6,Sarmiento,0.0,Midfielder,0.4
154,98,Tarkowski,Burnley,2,1.0,49,1710,115187,11.2,55,79.7,Tarkowski,5.3,Defender,11.2
156,100,Pieters,Burnley,2,0.1,42,379,9705,4.0,17,14.2,Pieters,4.3,Defender,4.0
157,101,Cork,Burnley,3,0.1,44,641,18462,3.6,16,8.4,Cork,0.0,Midfielder,3.6
158,102,Stephens,Burnley,3,0.0,44,122,4645,0.7,3,2.6,Stephens,0.7,Midfielder,0.7
160,104,Rodriguez,Burnley,4,0.8,52,553,95349,5.2,27,32.8,Rodriguez,4.0,Forward,5.2
161,105,Barnes,Burnley,4,0.6,52,380,110796,1.9,10,20.1,Barnes,0.3,Forward,1.9
162,106,Mee,Burnley,2,0.6,48,1440,219913,10.0,48,54.8,Mee,4.7,Defender,10.0
163,107,Westwood,Burnley,3,0.3,53,1600,54337,9.1,48,72.9,Westwood,2.3,Midfielder,9.1
164,108,Gudmundsson,Burnley,3,0.1,54,1097,7361,6.1,33,46.5,Gudmundsson,0.3,Midfielder,6.1
165,110,Lowton,Burnley,2,1.8,44,1514,268855,12.5,55,67.1,Lowton,0.0,Defender,12.5
166,111,Vydra,Burnley,4,0.3,52,438,65730,5.2,27,29.8,Vydra,0.7,Forward,5.2
167,112,Pope,Burnley,1,2.4,54,1620,115070,12.8,69,45.4,Pope,7.3,Goalkeeper,12.8
168,113,Taylor,Burnley,2,0.3,44,1440,54409,10.2,45,56.9,Taylor,0.0,Defender,10.2
170,115,Brownhill,Burnley,3,2.3,43,1380,564823,6.7,29,53.4,Brownhill,1.0,Midfielder,6.7
173,118,McNeil,Burnley,3,0.2,57,1774,33792,8.4,48,94.1,McNeil,2.7,Midfielder,8.4
174,451,Collins,Burnley,2,0.1,43,450,6876,3.5,15,18.5,Collins,0.0,Defender,3.5
175,480,Hennessey,Burnley,1,0.3,45,180,21210,0.9,4,9.3,Hennessey,0.0,Goalkeeper,0.9
179,575,Lennon,Burnley,3,0.1,49,438,9192,4.3,21,13.3,Lennon,2.3,Midfielder,4.3
180,578,Cornet,Burnley,3,0.6,59,765,358727,9.3,55,59.3,Cornet,1.7,Midfielder,9.3
181,585,Roberts,Burnley,2,0.0,45,285,4379,3.3,15,6.8,Roberts,4.7,Defender,3.3
182,700,Weghorst,Burnley,4,0.6,65,180,63797,1.1,7,8.9,Weghorst,2.3,Forward,1.1
183,119,Azpilicueta,Chelsea,2,3.3,56,1389,845093,12.0,67,68.4,Azpilicueta,3.3,Defender,12.0
185,121,Emiliano da Silva,Chelsea,2,4.9,56,1642,712759,16.4,92,81.8,Thiago Silva,5.7,Defender,16.4
186,122,Alonso,Chelsea,2,9.3,56,1429,3048084,13.2,74,96.5,Alonso,1.0,Defender,13.2
187,123,Frello Filho,Chelsea,3,5.1,59,1523,794401,14.1,83,88.8,Jorginho,1.3,Midfielder,14.1
188,124,Barkley,Chelsea,3,0.1,52,150,5428,1.3,7,16.3,Barkley,0.0,Midfielder,1.3
189,125,Kovacic,Chelsea,3,2.1,50,1124,1178950,12.8,64,73.9,Kovacic,1.7,Midfielder,12.8
191,127,Rüdiger,Chelsea,2,21.3,61,2070,3310254,16.7,102,90.5,Rüdiger,3.3,Defender,16.7
192,129,Arrizabalaga,Chelsea,1,0.5,47,360,62296,4.0,19,9.6,Arrizabalaga,4.3,Goalkeeper,4.0
193,130,Kanté,Chelsea,3,2.3,49,956,350418,9.2,45,53.9,Kanté,2.7,Midfielder,9.2
194,131,Ziyech,Chelsea,3,0.7,73,783,110702,7.1,52,81.8,Ziyech,7.7,Midfielder,7.1
195,132,Loftus-Cheek,Chelsea,3,0.1,54,692,29114,5.6,30,39.2,Loftus-Cheek,0.0,Midfielder,5.6
196,133,Christensen,Chelsea,2,1.4,46,999,551947,8.9,41,27.2,Christensen,0.0,Defender,8.9
197,134,Werner,Chelsea,4,1.4,86,574,202385,2.8,24,47.9,Werner,0.7,Forward,2.8
198,135,Chilwell,Chelsea,2,3.2,56,540,1605155,9.6,54,54.0,Chilwell,0.0,Defender,9.6
200,137,Pulisic,Chelsea,3,0.7,79,752,117478,4.7,37,49.4,Pulisic,1.0,Midfielder,4.7
201,138,Mount,Chelsea,3,16.3,75,1433,3401424,13.9,104,170.5,Mount,3.0,Midfielder,13.9
203,140,Hudson-Odoi,Chelsea,3,0.3,53,958,159302,9.2,49,82.7,Hudson-Odoi,3.0,Midfielder,9.2
204,141,Havertz,Chelsea,3,3.0,78,940,798560,6.4,50,69.2,Havertz,0.3,Midfielder,6.4
205,142,James,Chelsea,2,11.8,62,1115,3979856,14.7,91,107.6,James,0.0,Defender,14.7
206,143,Mendy,Chelsea,1,10.9,61,1800,1353721,13.6,83,40.6,Mendy,0.0,Goalkeeper,13.6
207,501,Sarr,Chelsea,2,0.1,49,270,9884,3.3,16,8.3,Sarr,2.7,Defender,3.3
208,527,Chalobah,Chelsea,2,1.8,47,907,771986,12.1,57,35.8,Chalobah,0.0,Defender,12.1
209,529,Lukaku,Chelsea,4,8.6,115,1087,3908958,5.1,59,93.1,Lukaku,2.0,Forward,5.1
210,539,Palmieri dos Santos,Chelsea,2,0.0,45,4,868,0.2,1,0.2,Emerson,0.0,Defender,0.2
211,592,Ñíguez,Chelsea,3,0.1,49,163,39259,1.0,5,3.4,Saúl,0.3,Midfielder,1.0
216,144,Gallagher,Crystal Palace,3,18.9,62,1749,4214318,16.5,102,157.2,Gallagher,3.7,Midfielder,16.5
217,146,Guaita,Crystal Palace,1,7.0,46,1800,790595,14.1,65,40.6,Guaita,1.3,Goalkeeper,14.1
218,147,Tomkins,Crystal Palace,2,0.1,43,545,19740,4.0,17,25.1,Tomkins,0.0,Defender,4.0
219,148,McArthur,Crystal Palace,3,1.2,43,950,539243,7.7,33,42.2,McArthur,0.0,Midfielder,7.7
220,149,Benteke,Crystal Palace,4,1.5,61,1084,486343,8.9,54,91.9,Benteke,0.7,Forward,8.9
221,150,Kouyaté,Crystal Palace,2,0.6,45,1318,90419,11.8,53,31.9,Kouyaté,0.0,Defender,11.8
