,id,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index,web_name,form,position,value
663,634,Perkins,West Ham,3,0.0,45,3,507,0.2,1,0.0,Perkins,0.2,Midfielder,0.2
667,426,Santos Moutinho,Wolves,3,1.0,49,1749,174454,13.9,68,84.6,Moutinho,5.0,Midfielder,13.9
670,429,Coady,Wolves,2,11.8,47,1966,1252328,19.1,90,56.2,Coady,4.3,Defender,19.1
671,430,Jiménez,Wolves,4,4.5,74,1644,1912934,8.8,65,116.6,Jiménez,2.3,Forward,8.8
672,431,Saïss,Wolves,2,1.6,50,1748,404443,16.4,82,72.0,Saïss,0.3,Defender,16.4
673,432,Marçal,Wolves,2,1.7,42,1016,978427,11.7,49,28.8,Marçal,0.7,Defender,11.7
675,434,Dendoncker,Wolves,3,0.1,47,963,14131,6.6,31,36.5,Dendoncker,2.0,Midfielder,6.6
676,435,Traoré,Wolves,3,1.2,56,1069,530240,7.9,44,76.6,Traoré,2.3,Midfielder,7.9
677,436,da Silva Neves,Wolves,3,0.9,53,1614,102042,10.0,53,75.3,Neves,3.0,Midfielder,10.0
678,437,Cabral Semedo,Wolves,2,2.7,48,1749,546452,15.6,75,72.1,Semedo,3.0,Defender,15.6
679,438,Castelo Podence,Wolves,3,0.2,55,783,41379,6.2,34,66.4,Podence,1.7,Midfielder,6.2
680,439,Kilman,Wolves,2,1.9,45,1980,250560,18.0,81,67.5,Kilman,3.0,Defender,18.0
681,440,Gibbs-White,Wolves,3,0.1,45,7,7872,0.2,1,2.1,Gibbs-White,0.0,Midfielder,0.2
684,443,Hoever,Wolves,2,1.8,39,192,311974,2.8,11,5.8,Hoever,0.0,Defender,2.8
686,445,Silva,Wolves,4,0.4,56,139,32096,2.3,13,7.5,Fabio Silva,1.3,Forward,2.3
689,461,Machado Mota de Castro Trincão,Wolves,3,0.3,56,997,124282,6.6,37,59.7,Trincão,2.0,Midfielder,6.6
690,470,Ait Nouri,Wolves,2,1.7,44,925,245714,12.5,55,50.8,Ait Nouri,4.7,Defender,12.5
691,475,Malheiro de Sá,Wolves,1,7.4,52,1980,1061829,18.8,98,59.0,Sá,3.3,Goalkeeper,18.8
693,547,Cundle,Wolves,3,0.1,44,1,11246,0.2,1,0.0,Cundle,0.3,Midfielder,0.2
696,583,Hwang,Wolves,4,2.5,54,981,1726196,8.7,47,55.7,Hwang,0.0,Forward,8.7
701,685,Gomes,Wolves,2,0.0,45,180,298,0.7,3,4.3,Toti,1.0,Defender,0.7
704,689,Tomás Oliveira,Wolves,3,0.0,55,28,294,0.2,1,5.7,Chiquinho,0.5,Midfielder,0.2
